location_id,area_name,airbnb_listing_count,priced_airbnb_count,median_airbnb_nzd_per_night,active_bonds,median_bond_rent_nzd_per_week,median_gap_nzd_per_night
316400,,4,4,126.0,,,
316500,,1,1,149.0,,,
316600,,11,11,203.0,132.0,650.0,110.14285714285714
316700,,23,23,166.0,,,
316800,,9,9,202.0,33.0,440.0,139.14285714285714
316900,,12,12,149.5,186.0,610.0,62.35714285714286
317000,,14,14,184.5,,,
317100,,1,1,109.0,,,
317200,,2,2,885.5,,,
317300,,2,2,155.5,189.0,610.0,68.35714285714286
317400,,5,5,285.0,144.0,665.0,190.0
317500,,14,14,199.0,,,
317600,,3,3,129.0,54.0,730.0,24.714285714285708
317700,,12,11,177.0,186.0,600.0,91.28571428571429
317800,,17,13,126.0,294.0,598.0,40.57142857142857
317900,,4,3,127.0,273.0,560.0,47.0
318000,,7,6,174.0,279.0,620.0,85.42857142857143
318100,,2,2,293.5,81.0,620.0,204.92857142857144
318300,,31,28,175.0,273.0,660.0,80.71428571428571
318400,,6,6,209.5,195.0,689.0,111.07142857142857
318500,,4,4,177.0,,,
318600,,8,7,97.0,111.0,595.0,12.0
318700,,16,16,128.5,111.0,600.0,42.78571428571429
318800,,4,4,162.5,129.0,450.0,98.21428571428571
318900,,3,2,114.5,117.0,655.0,20.92857142857143
319000,,2,2,119.0,207.0,550.0,40.42857142857143
319200,,12,12,155.5,342.0,630.0,65.5
319300,,11,10,92.5,273.0,580.0,9.642857142857139
319400,,3,3,246.0,153.0,525.0,171.0
319500,,14,13,115.0,273.0,650.0,22.14285714285714
319600,,5,5,97.0,228.0,600.0,11.285714285714292
319700,,8,7,249.0,300.0,530.0,173.28571428571428
319800,,10,8,183.0,219.0,595.0,98.0
319900,,12,8,143.0,423.0,585.0,59.42857142857143
320000,,1,1,99.0,,,
320100,,8,8,132.5,360.0,568.0,51.35714285714286
320200,,13,10,214.0,573.0,590.0,129.71428571428572
320300,,2,2,259.0,246.0,550.0,180.42857142857144
320400,,2,2,180.0,,,
320500,,19,19,206.0,288.0,605.0,119.57142857142857
320600,,15,13,107.0,234.0,640.0,15.57142857142857
320700,,7,5,300.0,444.0,550.0,221.42857142857144
320800,,5,4,375.5,270.0,615.0,287.6428571428571
320900,,7,7,221.0,255.0,600.0,135.28571428571428
321000,,7,7,240.0,483.0,570.0,158.57142857142856
321100,,16,14,240.5,423.0,550.0,161.92857142857144
321200,,1,1,242.0,273.0,500.0,170.57142857142856
321300,,9,6,77.0,150.0,733.0,-27.714285714285708
321400,,11,10,178.5,315.0,620.0,89.92857142857143
321500,,10,8,253.5,114.0,620.0,164.92857142857144
321600,,1,1,249.0,,,
321700,,9,8,92.5,276.0,235.0,58.92857142857143
321800,,13,13,157.0,714.0,465.0,90.57142857142857
321900,,7,7,137.0,297.0,323.0,90.85714285714286
322000,,5,5,196.0,,,
322100,,18,15,286.0,273.0,640.0,194.57142857142856
322200,,19,17,215.0,270.0,565.0,134.28571428571428
322400,,19,19,187.0,231.0,735.0,82.0
322500,Wigram North,8,7,336.0,117.0,653.0,242.71428571428572
322600,Holmwood,12,10,347.0,120.0,730.0,242.71428571428572
322700,,39,36,170.0,528.0,518.0,96.0
322800,,1,1,343.0,99.0,720.0,240.14285714285714
322900,,19,16,267.5,96.0,740.0,161.78571428571428
323000,,58,53,257.0,645.0,585.0,173.42857142857144
323100,,11,11,212.0,321.0,600.0,126.28571428571429
323200,,30,28,210.5,261.0,558.0,130.78571428571428
323300,,24,23,223.0,894.0,530.0,147.28571428571428
323400,,12,11,103.0,276.0,560.0,23.0
323500,,6,6,88.5,,,
323600,,5,5,330.0,132.0,705.0,229.28571428571428
323700,,5,4,150.5,135.0,575.0,68.35714285714286
323800,,30,25,229.0,573.0,520.0,154.71428571428572
323900,,41,35,237.0,711.0,510.0,164.14285714285714
324000,,6,6,84.0,198.0,583.0,0.7142857142857082
324100,,4,4,283.5,63.0,700.0,183.5
324200,,4,4,156.5,,,
324300,,9,8,192.5,147.0,650.0,99.64285714285714
324400,,40,29,250.0,969.0,530.0,174.28571428571428
324500,,13,12,215.5,363.0,685.0,117.64285714285714
324600,,4,2,156.5,189.0,600.0,70.78571428571428
324700,,4,4,291.5,,,
324800,,50,47,224.0,981.0,513.0,150.71428571428572
324900,,13,13,189.0,,,
325000,,10,10,232.0,297.0,590.0,147.71428571428572
325100,,4,2,213.5,261.0,580.0,130.64285714285714
325200,,24,23,206.0,279.0,620.0,117.42857142857143
325300,,42,38,227.5,1425.0,525.0,152.5
325400,,6,6,232.5,117.0,750.0,125.35714285714286
325500,,7,7,149.0,,,
325600,,5,5,56.0,210.0,600.0,-29.714285714285708
325700,,127,123,253.0,441.0,535.0,176.57142857142856
325800,,194,188,237.5,1131.0,499.0,166.21428571428572
325900,,20,17,191.0,342.0,530.0,115.28571428571429
326000,,10,9,145.0,,,
326100,,38,34,210.5,861.0,475.0,142.64285714285714
326200,,2,2,77.5,,,
326300,,9,8,223.0,246.0,685.0,125.14285714285714
326400,,17,17,211.0,69.0,530.0,135.28571428571428
326500,,10,10,109.0,291.0,520.0,34.71428571428571
326600,Christchurch Central,119,117,250.0,42.0,537.0,173.28571428571428
326700,,7,7,239.0,171.0,520.0,164.71428571428572
326800,,23,22,263.5,810.0,488.0,193.78571428571428
326900,,17,15,139.0,552.0,550.0,60.42857142857143
327000,,365,354,231.5,987.0,500.0,160.07142857142856
327100,,289,282,207.5,276.0,520.0,133.21428571428572
327200,,21,19,183.0,288.0,560.0,103.0
327300,,13,12,319.0,180.0,730.0,214.71428571428572
327400,,18,15,164.0,873.0,528.0,88.57142857142857
327500,,5,5,69.0,159.0,600.0,-16.714285714285708
327600,,17,15,201.0,738.0,560.0,121.0
327700,,7,5,272.0,228.0,553.0,193.0
327800,,6,4,123.0,198.0,293.0,81.14285714285714
327900,,49,44,192.5,1692.0,460.0,126.78571428571428
328000,,8,7,99.0,150.0,650.0,6.142857142857139
328100,,19,19,186.0,105.0,480.0,117.42857142857143
328200,,4,4,111.0,357.0,555.0,31.714285714285708
